there are total 216 partitions   total nodes: 47773 
they are:
9083 41.904747, 12.334551
29444 41.904939, 123.345522
29445 41.905816, 123.345454
29446 41.906448, 123.345467
29447 41.907228, 123.345547
29448 41.907356, 123.345608
29449 41.907434, 12.334583
29450 41.907499, 123.346175
29451 41.907544, 123.346261
29452 41.907645, 12.334628
29442 41.904545, 123.345423
9104 41.908145, 123.346341
9128 41.908376, 123.348694
partition 23   6:
6388 41.906735, 123.409733
8490 41.906747, 123.409772
8272 4.190671, 123.409791
6389 41.906698, 123.409752
8398 41.906687, 123.409717
8158 41.906724, 123.409698
partition 24   19:
6386 0.419061, 12.340932
26903 41.906507, 123.409094
27230 41.906529, 123.409065
26962 41.906535, 123.409022
26904 41.906531, 123.408984
27085 41.906232, 123.408022
26905 41.906198, 123.407914
26793 41.906174, 123.407882
27018 41.906142, 123.407879
26849 41.906092, 123.407906
26566 41.905358, 123.408295
26906 41.905332, 123.408314
26901 41.905322, 123.408349
26737 4.190531, 123.408392
26827 4.190532, 12.340844
26761 41.905645, 123.409502
26907 41.905677, 123.409524
26667 41.905709, 123.409526
26681 41.905733, 123.409524
partition 25   14:
8696 4.180903, 123.432261
8737 41.808715, 123.432506
8731 41.809319, 123.433794
8753 41.808783, 123.434224
23616 41.809317, 12.343542
8743 41.809382, 123.435569
8716 41.808276, 12.343463
23618 41.808515, 123.435214
23749 41.807913, 123.435728
8711 41.808777, 123.435853
8726 41.809847, 123.434991
8721 4.181009, 123.433235
8701 41.808228, 123.432875
8706 0.418081, 123.434222
partition 26   2:
9178 41.808366, 123.368933
9180 4.180582, 123.375243
partition 27   2:
181 41.744176, 123.407172
187 41.744103, 123.407018
partition 28   5:
10424 41.924267, 123.582256
36028 4.192492, 123.580121
10454 41.924285, 123.582532
20229 4.192442, 123.582523
20227 4.192431, 123.582873
partition 29   10:
6891 41.752251, 123.416894
25895 41.752147, 123.416799
24313 41.752021, 123.416684
18717 4.175238, 123.416863
25516 4.175258, 123.417179
6905 41.752542, 123.416693
25517 41.752705, 123.416934
18716 41.752572, 123.416536
25530 41.752538, 123.416359
18715 41.752506, 123.416191
partition 30   21:
3596 41.747811, 123.133285
5697 41.746097, 123.132937
18967 41.745897, 123.132899
5698 41.740516, 12.313189
18969 41.740335, 123.131851
18968 41.740236, 123.131831
5699 41.737685, 12.313129
5700 41.736508, 123.130585
5701 41.733768, 123.129826
5702 4.173323, 123.129811
5703 41.732369, 12.312994
5696 41.748201, 123.133356
18970 41.749832, 12.313368
18971 41.750099, 123.133733
5695 41.750138, 123.133741
5693 41.754298, 123.136184
12894 4.175889, 123.138795
12895 41.762011, 123.138462
12896 41.764476, 123.138956
12897 41.771702, 123.140265
5705 41.731186, 123.129045
partition 31   45:
9129 41.808952, 123.394101
9318 41.811555, 123.388733
43326 41.811361, 123.389514
43324 41.811232, 123.389569
43323 4.181122, 123.389871
43321 41.811106, 123.390528
43320 41.810354, 123.392802
43318 41.810192, 123.393282
43316 41.810022, 123.393564
43314 41.809742, 123.393725
43313 41.809484, 12.339388
43311 41.808991, 123.394095
43298 41.811602, 123.388542
9155 41.810985, 123.388261
43295 41.811049, 123.388279
9157 41.811122, 123.388324
9158 41.811197, 123.388344
46395 41.811259, 12.338831
43294 41.810942, 123.388229
43292 41.810876, 123.388202
9133 41.810864, 123.388267
9135 41.810849, 123.386971
9136 41.810931, 123.387054
9137 41.810912, 123.387241
9138 4.181091, 123.387409
9139 4.181103, 123.387438
9140 41.811053, 123.387616
9146 41.810907, 123.387876
43289 41.810855, 123.387948
43290 41.810753, 123.388108
46372 41.810758, 123.388131
9134 41.810861, 12.338674
9319 41.811725, 123.388041
9320 41.811973, 123.387006
9321 41.812329, 123.385619
9163 41.808201, 123.394415
43302 41.807942, 123.394623
43301 41.807674, 123.394625
9164 41.808425, 123.394259
9165 41.808641, 123.394016
43309 0.418087, 123.394034
43299 41.807407, 123.394645
9130 41.809106, 123.393658
9131 41.809886, 12.339108
9132 41.810226, 123.390222
partition 32   208:
107 41.925204, 123.150599
4353 41.925402, 123.150419
4360 41.926513, 123.148814
7325 41.931104, 123.141817
7319 41.932653, 123.143676
7320 41.936556, 123.148303
7322 41.937512, 123.149475
7323 41.939354, 123.151717
7004 41.939922, 123.150965
7006 41.941876, 123.148046
7007 41.941941, 123.147967
7008 41.941997, 123.147943
7009 41.942129, 123.147941
7010 41.943465, 123.147984
7011 41.943602, 123.147974
7327 41.943685, 123.149329
7329 41.943686, 123.149514
7330 41.943672, 123.149711
7334 41.943584, 123.150365
38009 41.943356, 123.151755
38010 41.943198, 12.315277
38011 41.943101, 123.153208
7338 41.942642, 123.155185
7339 41.942449, 12.315601
7340 4.194242, 123.156225
7341 41.942393, 123.156534
7342 41.942397, 12.315715
7343 41.942452, 123.158153
7344 41.942561, 123.160227
7345 41.942688, 123.162223
7346 41.942699, 123.162641
7013 41.943539, 123.146791
7014 41.943432, 123.145438
7015 41.943322, 123.143584
7016 41.943261, 123.142764
7017 41.943194, 123.141516
7018 41.943199, 123.141412
7019 41.943205, 123.141362
7020 41.943234, 123.141315
7022 41.943284, 123.141276
7023 4.194334, 123.141277
7024 41.943412, 123.141277
7025 41.943607, 123.141264
7026 41.943667, 123.141254
7027 41.943689, 12.314123
7028 41.943703, 123.141203
7029 41.943708, 123.141162
7030 41.943737, 12.314085
7031 41.943761, 123.140753
7032 41.943841, 123.140554
7033 41.943879, 123.140441
7034 41.943895, 123.140352
7035 41.943898, 123.140288
7036 41.943881, 123.139473
7037 41.943785, 123.137009
7038 41.943792, 123.136927
7039 41.943807, 123.136879
7040 41.943829, 123.136848
7041 4.194387, 123.136821
7042 41.943919, 123.136815
7043 41.944264, 123.136869
7045 0.419452, 123.137091
7046 41.946503, 123.137353
6996 41.924602, 123.174722
6997 41.924956, 123.173915
6998 4.192621, 123.171499
6999 41.928235, 12.316842
7000 41.930608, 123.164885
7001 41.933796, 123.160047
7002 4.193644, 123.156076
7003 41.939288, 123.151805
7012 41.924464, 123.175121
6995 41.924258, 123.175712
5922 41.924752, 123.175279
5923 41.927863, 123.176887
5924 41.931028, 12.317897
2818 41.917349, 123.171235
5909 41.917868, 123.171505
5917 4.191927, 123.172295
5921 41.921619, 123.173569
2819 41.918344, 123.168405
2820 41.918384, 123.168301
2822 41.918365, 123.168203
2823 41.918274, 123.168055
3145 41.915648, 123.164612
7317 41.930394, 123.140964
4364 41.931334, 123.141467
4369 4.193415, 123.137184
4375 41.934744, 123.136334
4379 41.935734, 123.135201
4383 41.937126, 123.133845
18187 41.937492, 123.133478
18170 41.936695, 123.129893
18172 41.936756, 123.130169
18175 41.936833, 123.130363
18177 41.936893, 123.130572
18178 41.936879, 123.131028
18180 41.936737, 123.132475
18182 41.936731, 123.132656
18184 41.936758, 123.132728
18185 4.193685, 123.132846
18186 4.193738, 123.133295
18169 41.936638, 123.128745
18837 41.937805, 123.128491
18838 41.937765, 123.128421
18839 41.937718, 123.127854
18188 41.937715, 123.126858
18840 41.937713, 12.312594
18841 41.937682, 123.125461
18842 4.193765, 123.124903
18843 41.937666, 123.124429
18844 41.937706, 123.124107
18845 41.938126, 123.122041
18189 41.936865, 123.126736
18190 4.193622, 123.126406
18191 41.933242, 123.124356
18192 41.928135, 12.312102
18834 41.938308, 123.128563
18835 41.938169, 123.128512
18836 41.937911, 123.128521
18833 41.938425, 123.128659
19109 41.938372, 123.128464
19110 41.938347, 123.128265
19112 4.193835, 123.128166
19113 41.938368, 123.128077
19115 4.193841, 12.312802
19117 41.938623, 123.127908
19118 41.938698, 123.127847
19119 41.938761, 123.127786
19120 41.938763, 123.127696
19122 41.938705, 123.127135
19123 41.938712, 123.127029
19124 4.193875, 123.126991
19125 41.938948, 123.126926
